model,dataset,windows,MAPE,MAE,RMSE,NMAE,univariate
arima,sequential/cifar100_timeseries_csvs,3,448.8719017654457,1.1906686118502445,1.9202618387609969,8.728266508928536,1.0
arima,sequential/KITTI,3,228.117809375162,449.0477165063157,543.1384580452759,0.7885858022475043,1.0
arima,sequential/ant_csv_out,3,2028.427223721088,0.5202049269196817,1.139194236608198,32.05630958260185,1.0
arima,sequential/hopper_csv_out,3,76353.37042796648,3.284680215816039,3.7118374425993856,6.68687689788545,1.0
arima,sequential/spriteworld,3,211.99104990163218,2.8942889215127736,3.2522687204845657,-1.948731065264356,1.0
arima,sequential/walker2d_csv_out,3,271.4620230682139,6.882447786483983,8.288591480734064,-4.86420118217956,1.0
arima,sequential/cheetah_csv_out,3,119.69625837436196,5.8640617886263335,7.432492810506964,-64.99343646107368,1.0
arima,sequential/openwebtext_timeseries_csvs,3,22.457841787942854,0.06483198681857659,0.07646386251838368,-0.2060598149580001,1.0
arima,synthetic/synthetic_scm/large_convlag_synin_s,3,2831.0524541609952,1.7552706023229485,2.075223041134703,-3.0485720597496795,1.0
arima,synthetic/synthetic_scm/medium_convlag_synin_s,3,285.56549046390734,0.8546746386195004,1.0006929140490983,-2.472376269619177,1.0
arima,synthetic/synthetic_scm/medium_obslag_synin_s,3,531.533783828924,1.2607428299151198,1.501021867207332,-4.112201241561082,1.0
arima,synthetic/synthetic_scm/tiny_convlag_synin_ns,3,92.13668846197238,0.5542231553054713,0.6947329971731495,-0.7317862011640018,1.0
arima,synthetic/synthetic_scm/tiny_obslag_synin_ns,3,148.75337207526584,0.8081107987506658,0.9966826730009806,-12.363971907195944,1.0
arima,synthetic/dynamic_data_csvs,3,84.94096328031164,0.8645146514149253,1.2418751714224754,29.10112674441247,1.0
arima,traditional/solar_alabama,3,146.7867567679136,4.30745977666158,8.223057427545788,1.1059966693505026,1.0
arima,traditional/ecl,3,95.00229363569167,6.480617261950166,7.3157205550074424,0.5403991722187279,1.0
arima,traditional/ny_electricity2025,3,12.844731468765346,1946.1636002592234,2205.5136914175177,0.12607916258941196,1.0
arima,traditional/daily_electricity/al_daily,3,16.019569667493332,98657.73598975735,124319.63836236943,0.15220903926869872,1.0
arima,traditional/daily_electricity/az_daily,3,31.428228282392087,8910.018379957934,10465.855797475337,0.2366443223149468,1.0
arima,traditional/daily_electricity/cal_daily,3,11.839430270073125,89800.86979444516,105389.42597958779,0.1161404050383104,1.0
arima,traditional/daily_electricity/car_daily,3,15.86071449262946,94466.75523727889,119383.06224414415,0.15240007072649583,1.0
arima,traditional/daily_electricity/co_daily,3,12.451440682585742,15227.580918468593,17931.848219399402,0.12127294141768304,1.0
arima,traditional/daily_electricity/ne_daily,3,15.017639526516218,48004.445528482356,56640.93860894144,0.14658544238222956,1.0
arima,traditional/daily_electricity/nm_daily,3,11.653800672555695,4670.004984621355,5723.567930241469,0.1167986780876965,1.0
